Source	Target	Haberman	p(Z)
Duccio di Buoninsegna	Giotto di Bondone	21.2042813946234	0
Duccio di Buoninsegna	Simone Martini	14.7064522362897	0
Giotto di Bondone	Simone Martini	21.9984591611998	0
Filippo Brunelleschi	Fra Angelico	23.437218669607	0
Filippo Brunelleschi	Jan Van Eyck	23.47258315533	0
Filippo Brunelleschi	Paulo Uccello	17.5731286579592	0
Filippo Brunelleschi	Rogier van der Weyden	18.4091675713836	0
Filippo Brunelleschi	Stephan Lochner	20.9869664653035	0
Filippo Brunelleschi	Masaccio	16.9398421997286	0
Filippo Brunelleschi	Leon Battista Alberti	16.0111276108584	0
Filippo Brunelleschi	Piero della Francesca	10.2665509886448	0
Filippo Brunelleschi	Enguerrand Quarton	13.5301163952242	0
Filippo Brunelleschi	Jean Fouquet	9.76500531911759	0
Filippo Brunelleschi	Antonello da Messina	6.277958452385	2.88022383720943e-10
Filippo Brunelleschi	Michael Pacher	4.6535765798311	1.92373394503065e-06
Filippo Brunelleschi	Giovanni Bellini	3.60098198205683	0.000168793666322609
Filippo Brunelleschi	Andrea Mantegna	3.76897287362719	8.83010559858954e-05
Filippo Brunelleschi	Hans Memling	3.01642629809087	0.00132145301373754
Filippo Brunelleschi	Bartolomé Bermejo	0.888198039289245	0.1873574377595
Fra Angelico	Jan Van Eyck	23.6591634425093	0
Fra Angelico	Paulo Uccello	21.4552704018283	0
Fra Angelico	Rogier van der Weyden	22.6324532846969	0
Fra Angelico	Stephan Lochner	23.6591634425093	0
Fra Angelico	Masaccio	17.0744946408972	0
Fra Angelico	Leon Battista Alberti	20.1119250756605	0
Fra Angelico	Piero della Francesca	14.1220095264605	0
Fra Angelico	Enguerrand Quarton	18.1553045836486	0
Fra Angelico	Jean Fouquet	14.0194366517108	0
Fra Angelico	Antonello da Messina	10.938068982766	0
Fra Angelico	Michael Pacher	8.68063756461461	0
Fra Angelico	Giovanni Bellini	7.25815279696477	4.84945417156268e-13
Fra Angelico	Andrea Mantegna	7.62506212822523	3.64153152077051e-14
Fra Angelico	Hans Memling	7.28900893723727	3.91686683087755e-13
Fra Angelico	Bartolomé Bermejo	5.28118885776675	8.38324010210556e-08
Fra Angelico	Alessandro Filipepi Botticelli	2.24994823159807	0.0123685862010126
Fra Angelico	Luca Signorelli	1.5881512262558	0.0563337555683132
Fra Angelico	Perugino	0.466987333010819	0.320321305485232
Fra Angelico	Domenico Bigordi	1.49874183069062	0.0671776558776822
Fra Angelico	Domenico Ghirlandaio	1.49874183069062	0.0671776558776822
Fra Angelico	Pedro Berruguete	0.54273450723461	0.293735760708135
Jan Van Eyck	Paulo Uccello	18.653564110353	0
Jan Van Eyck	Rogier van der Weyden	19.3062913466186	0
Jan Van Eyck	Stephan Lochner	21.892098077992	0
Jan Van Eyck	Masaccio	19.9086037402407	0
Jan Van Eyck	Leon Battista Alberti	16.6542521675956	0
Jan Van Eyck	Piero della Francesca	10.2649509262497	0
Jan Van Eyck	Enguerrand Quarton	13.3509025225788	0
Jan Van Eyck	Jean Fouquet	9.32922459293116	0
Jan Van Eyck	Antonello da Messina	4.97730108262979	3.98961030101397e-07
Jan Van Eyck	Michael Pacher	3.6451312284702	0.000142713856271959
Jan Van Eyck	Giovanni Bellini	2.77876834990987	0.00279552233867419
Jan Van Eyck	Andrea Mantegna	2.78252745802068	0.00276366952160156
Jan Van Eyck	Hans Memling	1.54609166171354	0.0612490827266658
Paulo Uccello	Rogier van der Weyden	24.7698301501758	0
Paulo Uccello	Stephan Lochner	21.9507581248816	0
Paulo Uccello	Masaccio	15.8415618911321	0
Paulo Uccello	Leon Battista Alberti	25.5942535634059	0
Paulo Uccello	Piero della Francesca	20.7296478942717	0
Paulo Uccello	Enguerrand Quarton	21.9507581248816	0
Paulo Uccello	Jean Fouquet	21.5328154863221	0
Paulo Uccello	Antonello da Messina	19.5754750849827	0
Paulo Uccello	Michael Pacher	16.0745922917774	0
Paulo Uccello	Giovanni Bellini	13.916158243228	0
Paulo Uccello	Andrea Mantegna	14.7100647481651	0
Paulo Uccello	Hans Memling	15.3340972770624	0
Paulo Uccello	Bartolomé Bermejo	13.7403194888308	0
Paulo Uccello	Alessandro Filipepi Botticelli	10.1975734168172	0
Paulo Uccello	Luca Signorelli	8.88342298484428	0
Paulo Uccello	Perugino	7.97148935611059	2.88657986402541e-15
Paulo Uccello	Domenico Bigordi	11.0834587056538	0
Paulo Uccello	Domenico Ghirlandaio	11.0834587056538	0
Paulo Uccello	El Bosco	7.98781045895613	2.55351295663786e-15
Paulo Uccello	Pedro Berruguete	9.4399941578216	0
Paulo Uccello	Leonardo da Vinci	7.05806768142637	1.90292226420752e-12
Paulo Uccello	Martin Shongauer	10.2143605658306	0
Paulo Uccello	Bernardino di Betto	6.95513531307597	3.79662967731065e-12
Paulo Uccello	Gerard David	4.00645448195347	3.38455420194617e-05
Paulo Uccello	Quentin Metsys	1.38293096371949	0.0835458313284874
Rogier van der Weyden	Stephan Lochner	24.4466201251424	0
Rogier van der Weyden	Masaccio	17.6427913577371	0
Rogier van der Weyden	Leon Battista Alberti	24.8908909010267	0
Rogier van der Weyden	Piero della Francesca	18.532074114153	0
Rogier van der Weyden	Enguerrand Quarton	23.4185543694377	0
Rogier van der Weyden	Jean Fouquet	18.8243156349502	0
Rogier van der Weyden	Antonello da Messina	16.0860199125215	0
Rogier van der Weyden	Michael Pacher	13.1470152961117	0
Rogier van der Weyden	Giovanni Bellini	11.3286679696182	0
Rogier van der Weyden	Andrea Mantegna	11.899567262451	0
Rogier van der Weyden	Hans Memling	11.9714570031038	0
Rogier van der Weyden	Bartolomé Bermejo	10.0424564914345	0
Rogier van der Weyden	Alessandro Filipepi Botticelli	6.61891527769968	3.41415784532728e-11
Rogier van der Weyden	Luca Signorelli	5.63509445216609	1.23213614866557e-08
Rogier van der Weyden	Perugino	4.54575520195953	3.18287130118833e-06
Rogier van der Weyden	Domenico Bigordi	6.56939740498703	4.68142191678567e-11
Rogier van der Weyden	Domenico Ghirlandaio	6.56939740498703	4.68142191678567e-11
Rogier van der Weyden	El Bosco	4.24637744827225	1.2206606865961e-05
Rogier van der Weyden	Pedro Berruguete	5.24718429112183	1.00220309606769e-07
Rogier van der Weyden	Leonardo da Vinci	3.26990702824864	0.000562112552139782
Rogier van der Weyden	Martin Shongauer	5.09890137841289	2.15778622636442e-07
