artista	years	birth	death	birthplace	birthcountry	deathplace	deathcountry	Movements	Disciplinas	importance
Duccio di Buoninsegna	64	1255	1319	Siena	Italia	Siena	Italia	Gótico	Pintura	9
Giotto di Bondone	71	1266	1337	Colle di Vespigiano	Italia	Florencia	Italia	Gótico	Pintura	1
Simone Martini	61	1284	1344	Siena	Italia	Aviñón	Francia	Gótico	Pintura	9
Filippo Brunelleschi	69	1377	1446	Florencia	Italia	Florencia	Italia	Renacimiento temprano	Pintura	9
Fra Angelico	68	1387	1455	Vicchio	Italia	Roma	Italia	Renacimiento temprano	Pintura	2
Jan Van Eyck	52	1390	1441	Maaseik	Paises Bajos	Brujas	Paises Bajos	Flamenco primitivo	Pintura	1
Paulo Uccello	78	1397	1475	Florencia	Italia	Florencia	Italia	Renacimiento temprano	Pintura	9
Rogier van der Weyden	64	1400	1464	Tournai	Paises Bajos	Bruselas	Bélgica	Gótico	Pintura	2
Stephan Lochner	51	1400	1451	Meersburg	Alemania	Colonia	Alemania	Gótico	Pintura	2
Masaccio	27	1401	1428	San Giovanni Valdarno	Italia	Roma	Italia	Renacimiento temprano	Pintura	2
Leon Battista Alberti	68	1404	1472	Génova	Italia	Roma	Italia	Renacimiento temprano	Arquitectura|Escritura|Escultura|Poesia	9
Piero della Francesca	77	1415	1492	Sansepolcro	Italia	Sansepolcro	Italia	Renacimiento temprano	Pintor	2
Enguerrand Quarton	51	1415	1466	Laon	Francia	Aviñón	Francia	Renacimiento temprano	Pintura	2
Jean Fouquet	61	1420	1481	Tours	Francia	Tours	Francia	Renacimiento temprano	Pintura	2
Antonello da Messina	49	1430	1479	Mesina	Italia	Mesina	Italia	Renacimiento temprano	Pintura	2
Michael Pacher	68	1430	1498	Brixen	Italia	Salzburgo	Austria	Renacimiento	Pintura	2
Giovanni Bellini	85	1430	1515	Venecia	Italia	Venecia	Italia	Renacimiento	Pintura	1
Andrea Mantegna	75	1431	1506	Iisola di Carturo	Italia	Mántova	Italia	Renacimiento	Pintura	9
Hans Memling	59	1435	1494	Selingenstadt	Paises Bajos	Brujas	Bélgica	Flamenco primitivo	Pintura	2
Bartolomé Bermejo	55	1440	1495	Córdoba	España	Barcelona	España	Flamenco primitivo	Pintura	2
Alessandro Filipepi Botticelli	65	1445	1510	Florencia	Italia	Florencia	Italia	Renacimiento	Pintura	1
Luca Signorelli	78	1445	1523	Cortona	Italia	Cortona	Italia	Renacimiento	Pintura	9
Perugino	75	1448	1523	Città della Pieve	Italia	Fontignano	Italia	Renacimiento	Pintura	9
Domenico Bigordi	45	1449	1494	Florencia	Italia	Florencia	Italia	Renacimiento	Pintura	9
Domenico Ghirlandaio	46	1449	1494	Florencia	Italia	Florencia	Italia	Renacimiento	Pintura	9
El Bosco	66	1450	1516	Hertogenbosch	Paises Bajos	Hertogenbosch	Paises Bajos	Renacimiento	Pintura	1
Pedro Berruguete	53	1450	1503	Paredes de la Nava	España	Madrid	España	Renacimiento	Pintura	9
Leonardo da Vinci	68	1452	1519	Anchiano	Italia	Castillo de Clos-Lucé	Francia	Renacimiento	Pintura	1
Martin Shongauer	38	1453	1491	Colmar	Francia	Breisach	Alemania	Gótico	Pintura	2
Bernardino di Betto	59	1454	1513	Perugua	Italia	Siena	Italia	Renacimiento	Pintura	9
Gerard David	63	1460	1523	Oudewater	Paises Bajos	Brujas	Bélgica	Flamenco primitivo	Pintura	9
Quentin Metsys	64	1466	1530	Lovaina	Bélgica	Lovaina	Bélgica	Flamenco primitivo	Pintura	2
Alberto Durero	58	1471	1528	Nuremberg	Alemania	Nuremberg	Alemania	Edad Media|Renacimiento	Pintura	1
Lucas Cranach el Viejo	81	1472	1553	Kronach	Alemania	Weimar	Alemania	Renacimiento	Pintura|Grabado	1
Alejo Fernández	70	1475	1545	Córdoba	España	Granada	España	Renacimiento	Pintura	9
Miguel Ángel	89	1475	1564	Caprese	Italia	Roma	Italia	Renacimiento	Pintura	1
Giorgione da Castelfranco	33	1477	1510	Castelfranco Veneto	Italia	Venecia	Italia	Renacimiento	Pintura	2
Fernando Yañez de la Almedina	51	1480	1531	Valencia	España	Valencia	España	Renacimiento	Pintura	9
Joachim Patinir	44	1480	1524	Dinant	Bélgica	Amberes	Bélgica	Renacimiento	Pintura	9
Mathis Grünewald	48	1480	1528	Wurzburgo	Alemania	Halle	Alemania	Renacimiento	Pintura	2
Lorenzo Lotto	76	1480	1556	Venecia	Italia	Loreto	Italia	Renacimiento	Pintura	2
Rafael	38	1483	1520	Urbino	Italia	Roma	Italia	Renacimiento	Pintura	1
Tiziano Vecellio	91	1485	1576	Pieve di Cadore	Italia	Venecia	Italia	Renacimiento	Pintura	1
Antonio Allegri da Corregio	45	1489	1534	Reggio Emilia	Italia	Reggio Emilia	Italia	Renacimiento	Pintura	2
Domenico di Bartolomeo	35	1492	1527	Florencia	Italia	Florencia	Italia	Renacimiento	Pintura	9
Jacopo da Pontormo	63	1494	1557	Pontormo	Italia	Florencia	Italia	Manierismo	Pintura	2
Rojo Florentino	46	1494	1540	Florencia	Italia	Fontainebleau	Francia	Manierismo	Pintura	2
Hans Holbein el joven	47	1497	1543	Augsburgo	Alemania	Londres	Inglaterra	Renacimiento	Pintura	2
Luis de Morales	86	1500	1586	Badajoz	España	Badajoz	España	Manierismo	Pintura	9
Parmigianino	38	1503	1540	Parma	Italia	Casalmaggiore	Italia	Manierismo	Pintura	9
Francesco Primaticcio	66	1504	1570	Bolonia	Italia	Fontainebleau	Italia	Manierismo	Pintura|Escultura|Arquitectura	9
Lucas Cranach el Joven	71	1515	1586	Wittenberg	Alemania	Weimar	Alemania	Renacimiento	Pintura|Xilografia	9
François Clouet	57	1515	1572	Tours	Francia	París	Alemania	Renacimiento	Pintura|Miniaturas	2
