name	link	tuits	retuits	rteados	followers	following	status	location	Walktrap
@_afonde	<a href="https://twitter.com/_afonde" target="_blank">_afonde</a>	1	0	1	89	269	193	Bcn	001
@_albertserra	<a href="https://twitter.com/_albertserra" target="_blank">_albertserra</a>	1	0	1	15	102	42	Caldes de Montbui, Catalunya	058
@_Foraster_	<a href="https://twitter.com/_Foraster_" target="_blank">_Foraster_</a>	7	1	0	45	146	2204		286
@_Maria_Dantas_	<a href="https://twitter.com/_Maria_Dantas_" target="_blank">_Maria_Dantas_</a>	10	0	2	1695	2524	36048	Barcelona	070
@_MariaCliment	<a href="https://twitter.com/_MariaCliment" target="_blank">_MariaCliment</a>	1	0	1	1092	668	3176	Delta de l'Ebre - Barcelona	091
@_pmarkes	<a href="https://twitter.com/_pmarkes" target="_blank">_pmarkes</a>	1	2	0	19006	20630	8381	Terrassa (Barcelona)	075
@11s2014	<a href="https://twitter.com/11s2014" target="_blank">11s2014</a>	8	0	1	1506	2051	23723	Mataró, Catalunya	013
@13thkyr	<a href="https://twitter.com/13thkyr" target="_blank">13thkyr</a>	1	0	1	34	235	358	Barcelona	068
@1st_Rep_of_Cat	<a href="https://twitter.com/1st_Rep_of_Cat" target="_blank">1st_Rep_of_Cat</a>	5	0	1	162	564	2588		111
@2005sjusi	<a href="https://twitter.com/2005sjusi" target="_blank">2005sjusi</a>	26	0	3	805	790	51238	Costa Daurada	009
@32Behan	<a href="https://twitter.com/32Behan" target="_blank">32Behan</a>	17	0	1	426	618	16607	de vacances ovidianes	025
@3N4ICM4u41	<a href="https://twitter.com/3N4ICM4u41" target="_blank">3N4ICM4u41</a>	8	0	2	3462	3357	62845	Catalunya (Països Catalans)	066
@3v43v4	<a href="https://twitter.com/3v43v4" target="_blank">3v43v4</a>	18	0	1	150	294	8892	Vilassar de Dalt, Catalunya	001
@622Arquitectura	<a href="https://twitter.com/622Arquitectura" target="_blank">622Arquitectura</a>	6	0	1	1071	1890	6884	Terrassa. Barcelona. Catalonia	019
@68MireiaXD	<a href="https://twitter.com/68MireiaXD" target="_blank">68MireiaXD</a>	4	0	1	118	516	2751		001
@6uN7CtZuCK66Rpd	<a href="https://twitter.com/6uN7CtZuCK66Rpd" target="_blank">6uN7CtZuCK66Rpd</a>	7	8	0	63	397	568		027
@A_Bretodeau	<a href="https://twitter.com/A_Bretodeau" target="_blank">A_Bretodeau</a>	5	0	1	232	94	42857	San Junipero.	075
@a_leixcg	<a href="https://twitter.com/a_leixcg" target="_blank">a_leixcg</a>	2	0	1	39	204	1382	Barcelona, Catalunya	001
@a_mnika	<a href="https://twitter.com/a_mnika" target="_blank">a_mnika</a>	3	0	1	33	60	3187	España	040
@A_S_e_r_r_a_n_o	<a href="https://twitter.com/A_S_e_r_r_a_n_o" target="_blank">A_S_e_r_r_a_n_o</a>	3	1	0	191	243	836	Castelldefels	238
@A3Noticias	<a href="https://twitter.com/A3Noticias" target="_blank">A3Noticias</a>	0	1	0					198
@a9de8b44494d436	<a href="https://twitter.com/a9de8b44494d436" target="_blank">a9de8b44494d436</a>	14	0	1	57	34	6784		019
@ABalagu	<a href="https://twitter.com/ABalagu" target="_blank">ABalagu</a>	17	1	1	4646	4899	101124		039
@abelardhjardi	<a href="https://twitter.com/abelardhjardi" target="_blank">abelardhjardi</a>	2	0	1	7926	2719	2190		019
@AbelloSanllehi	<a href="https://twitter.com/AbelloSanllehi" target="_blank">AbelloSanllehi</a>	33	0	5	987	1533	62523	Barcelona	002
@AbelPeraire	<a href="https://twitter.com/AbelPeraire" target="_blank">AbelPeraire</a>	8	1	0	638	186	4539		285
@abelplana	<a href="https://twitter.com/abelplana" target="_blank">abelplana</a>	3	1	0	254	463	1346		274
@abrahamperezn	<a href="https://twitter.com/abrahamperezn" target="_blank">abrahamperezn</a>	3	0	1	380	509	5056	Països Catalans	030
@AcijoD	<a href="https://twitter.com/AcijoD" target="_blank">AcijoD</a>	5	0	1	85	232	8343	Catalunya	001
@acodina58	<a href="https://twitter.com/acodina58" target="_blank">acodina58</a>	10	0	2	88	58	11516		001
@acomajuncosas78	<a href="https://twitter.com/acomajuncosas78" target="_blank">acomajuncosas78</a>	0	1	0					261
@AComunis	<a href="https://twitter.com/AComunis" target="_blank">AComunis</a>	2	0	1	32	30	1747		068
@acosta2B	<a href="https://twitter.com/acosta2B" target="_blank">acosta2B</a>	1	0	1	27	47	75	Barcelona, España	074
@ADALL14	<a href="https://twitter.com/ADALL14" target="_blank">ADALL14</a>	3	0	1	109	403	2588		001
@ADF175Esparregu	<a href="https://twitter.com/ADF175Esparregu" target="_blank">ADF175Esparregu</a>	9	0	1	392	331	7353	Esparreguera, Espanya	182
@adosc	<a href="https://twitter.com/adosc" target="_blank">adosc</a>	0	1	0					251
@AdrConde	<a href="https://twitter.com/AdrConde" target="_blank">AdrConde</a>	1	0	1	90	127	342		061
@Adri36_	<a href="https://twitter.com/Adri36_" target="_blank">Adri36_</a>	1	0	1	677	852	17064	Madrid,Getafe-Hinojal	150
@adriaaubert	<a href="https://twitter.com/adriaaubert" target="_blank">adriaaubert</a>	1	2	0	82	202	295		125
@Adriadv14	<a href="https://twitter.com/Adriadv14" target="_blank">Adriadv14</a>	1	0	1	1	7	5	Sabadell, España	186
@adrianasala9	<a href="https://twitter.com/adrianasala9" target="_blank">adrianasala9</a>	9	0	1	42	176	2464	Barcelona	001
@adribata10	<a href="https://twitter.com/adribata10" target="_blank">adribata10</a>	1	0	1	1283	1142	2891	Barcelona - La Vall d'en Bas	071
@adribrk	<a href="https://twitter.com/adribrk" target="_blank">adribrk</a>	1	0	1	93	359	507	Països Catalans	041
@AdriRodergues	<a href="https://twitter.com/AdriRodergues" target="_blank">AdriRodergues</a>	3	0	1	558	343	30721	Sin City	007
@AEiGPareClaret	<a href="https://twitter.com/AEiGPareClaret" target="_blank">AEiGPareClaret</a>	0	1	0					213
@aesux	<a href="https://twitter.com/aesux" target="_blank">aesux</a>	3	2	0	2042	1184	28129	Amb el cor a la Conca Dellà. Catalonia	048
@afont07	<a href="https://twitter.com/afont07" target="_blank">afont07</a>	1	0	1	319	259	917		001
@AfricaVG	<a href="https://twitter.com/AfricaVG" target="_blank">AfricaVG</a>	4	0	1	20	231	1888		001
@AgataBuxade	<a href="https://twitter.com/AgataBuxade" target="_blank">AgataBuxade</a>	5	0	1	173	517	9667	Barcelona	001
@Agents_Rurals	<a href="https://twitter.com/Agents_Rurals" target="_blank">Agents_Rurals</a>	1	42	0	21855	901	16707	.cat	008
@agimeneznavarro	<a href="https://twitter.com/agimeneznavarro" target="_blank">agimeneznavarro</a>	2	0	1	681	2328	13861	Barcelona	001
@agontan	<a href="https://twitter.com/agontan" target="_blank">agontan</a>	1	0	1	516	376	3243		019
@AGR_Network	<a href="https://twitter.com/AGR_Network" target="_blank">AGR_Network</a>	17	0	1	1016	2050	33236	Україна	024
