Source	Target	Haberman	coincidences
Barbadori	Castellani	0.291937104060571	1
Barbadori	Medici	-0.412861411922385	1
Barbadori	Peruzzi	-0.0880223487774413	1
Barbadori	Ginori	0.801550071725103	1
Bischeri	Guadagni	1.13933178796912	1
Bischeri	Lamberteschi	0.291937104060571	1
Bischeri	Peruzzi	0.291937104060571	1
Castellani	Lamberteschi	0.291937104060571	1
Castellani	Peruzzi	0.291937104060571	1
Guadagni	Lamberteschi	0.801550071725103	1
Lamberteschi	Peruzzi	-0.0880223487774413	1
Medici	Pazzi	1.4638501094228	1
Medici	Ridolfi	1.4638501094228	1
Medici	Tornabuoni	1.4638501094228	1
Medici	Ginori	0.537086155529575	1
