Source	Target	Haberman	coincidences
Albizzi	Guadagni	0.680613909729773	1
Albizzi	Medici	0.197202659436654	1
Albizzi	Ginori	2.50998007960223	1
Acciaiuoli	Medici	1.62018517460197	1
Barbadori	Castellani	1.51744244666721	1
Barbadori	Medici	0.705243518972441	1
Bischeri	Guadagni	0.680613909729773	1
Bischeri	Peruzzi	1.01835015443463	1
Bischeri	Strozzi	0.680613909729773	1
Castellani	Peruzzi	1.01835015443463	1
Castellani	Strozzi	0.680613909729773	1
Guadagni	Lamberteschi	2.11246301742776	1
Guadagni	Tornabuoni	0.680613909729773	1
Medici	Ridolfi	0.197202659436654	1
Medici	Salviati	0.705243518972441	1
Medici	Tornabuoni	0.197202659436654	1
Pazzi	Salviati	3.15832233947075	1
Peruzzi	Strozzi	0.680613909729773	1
Ridolfi	Strozzi	0.680613909729773	1
Ridolfi	Tornabuoni	1.01835015443463	1
