name	frequency	type	species
Geospiza magnirostris	14	Geospiza	g.Magnirostris.png
Geospiza fortis	13	Geospiza	g.Fortis.png
Geospiza fuliginosa	14	Geospiza	g.Fuliginosa.png
Geospiza difficilis	10	Geospiza	g.Difficilis.png
Geospiza scandens	12	Geospiza	g.Scandens.png
Geospiza conirostris	2	Geospiza	g.Conirostris.png
Camarhynchus psitticula	10	Camarhynchus	c.Psitticula.png
Camarhynchus pauper	1	Camarhynchus	c.Pauper.png
Camarhynchus parvulus	10	Camarhynchus	c.Parvulus.png
Platyspiza crassirostris	11	Platyspiza	p.Crassirostris.png
Cactospiza pallida	6	Cactospiza	c.Pallida.png
Cactospiza heliobates	2	Cactospiza	c.Heliobates.png
Certhidea olivacea	17	Cactospiza	c.Olivacea.png
